year,cases
2020.2884615384614,3896.294711435738
2020.3076923076924,3896.0432437046584
2020.326923076923,3895.792445435284
2020.3461538461538,3895.5423194942196
2020.3653846153845,3895.2928687133094
2020.3846153846155,3895.044095889852
2020.4038461538462,3894.796003786978
2020.423076923077,3894.548595133773
2020.4423076923076,3894.301872625585
2020.4615384615386,3894.055838924213
2020.4807692307693,3893.8104966582137
2020.5,3893.5658484230894
2020.5192307692307,3893.321896781547
2020.5384615384614,3893.078644263717
2020.5576923076924,3892.836093367398
2020.576923076923,3892.5942465582757
2020.5961538461538,3892.353106270159
2020.6153846153845,3892.112674905253
2020.6346153846155,3891.872954834255
2020.6538461538462,3891.6339483967135
2020.673076923077,3891.3956579011933
2020.6923076923076,3891.158085625491
2020.7115384615386,3890.9212338168536
2020.7307692307693,3890.6851046922447
2020.75,3890.449700438473
2020.7692307692307,3890.215023212518
2020.7884615384614,3889.9810751416007
2020.8076923076924,3889.747858323562
2020.826923076923,3889.5153748269154
2020.8461538461538,3889.2836266911554
2020.8653846153845,3889.052615926952
2020.8846153846155,3888.822344516313
2020.9038461538462,3888.5928144128043
2020.923076923077,3888.364027541834
2020.9423076923076,3888.135985800673
2020.9615384615386,3887.908691058893
2020.9807692307693,3887.682145158305
2021,3887.456349913398
2021.0192307692307,3887.2313071114013
2021.0384615384614,3887.007002647843
2021.0576923076924,3886.783438456014
2021.076923076923,3886.5606164405126
2021.0961538461538,3886.338538477585
2021.1153846153845,3886.117206415262
2021.1346153846155,3885.8966220735642
2021.1538461538462,3885.6767872448067
2021.173076923077,3885.457703693585
2021.1923076923076,3885.2393731572306
2021.2115384615386,3885.0217973458584
2021.2307692307693,3884.8049779426083
2021.25,3884.588916603828
2021.2692307692307,3884.3736149592696
2021.2884615384614,3884.1590746123047
2021.3076923076924,3883.9452971401483
2021.326923076923,3883.7322840939555
2021.3461538461538,3883.520036999121
2021.3653846153845,3883.3085573554017
2021.3846153846155,3883.0978466370634
2021.4038461538462,3882.8879062932547
2021.423076923077,3882.6787377479527
2021.4423076923076,3882.47034240033
2021.4615384615386,3882.2627216248507
2021.4807692307693,3882.055876771482
2021.5,3881.8498091658494
2021.5192307692307,3881.644520109489
2021.5384615384614,3881.440010879942
2021.5576923076924,3881.2362827310953
2021.576923076923,3881.0333368933025
2021.5961538461538,3880.8311745736064
2021.6153846153845,3880.6297969559514
2021.6346153846155,3880.4292052012233
2021.6538461538462,3880.2294004475466
2021.673076923077,3880.0303838104574
2021.6923076923076,3879.832156382942
2021.7115384615386,3879.634719235758
2021.7307692307693,3879.438073417502
2021.75,3879.242219954848
2021.7692307692307,3879.047159852682
2021.7884615384614,3878.852894094186
2021.8076923076924,3878.6594236411565
2021.826923076923,3878.466749434038
2021.8461538461538,3878.2748723921804
2021.8653846153845,3878.0837934139086
2021.8846153846155,3877.8935133767473
2021.9038461538462,3877.7040331375406
2021.923076923077,3877.5153535326453
2021.9423076923076,3877.3274753780165
2021.9615384615386,3877.140399469514
2021.9807692307693,3876.9541265828343
2022,3876.76865747385
2022.0192307692307,3876.58399287871
2022.0384615384614,3876.40004080888
2022.0576923076924,3876.216803036599
2022.076923076923,3876.034281304837
2022.0961538461538,3875.8524773275362
2022.1153846153845,3875.6713927898886
2022.1346153846155,3875.4910293485177
2022.1538461538462,3875.3113886317474
2022.173076923077,3875.1324722398244
2022.1923076923076,3874.9542817450765
2022.2115384615386,3874.77681869229
2022.2307692307693,3874.600084598749
2022.25,3874.4240809545718
2022.2692307692307,3874.248809222901
2022.2884615384614,3874.074270840154
2022.3076923076924,3873.900467216163
2022.326923076923,3873.727399734439
2022.3461538461538,3873.5550697523986
2022.3653846153845,3873.3834786015464
2022.3846153846155,3873.2126275877117
2022.4038461538462,3873.042517991194
2022.423076923077,3872.8731510670773
2022.4423076923076,3872.7045280453185
2022.4615384615386,3872.5366501310486
2022.4807692307693,3872.3695185047127
2022.5,3872.203134322318
2022.5192307692307,3872.037498715565
2022.5384615384614,3871.8726127921414
2022.5576923076924,3871.7084776358206
