year,cases
2022.0961538461538,2004.3823312594973
2022.1153846153845,2004.6609160613732
2022.1346153846155,2004.9396392620156
2022.1538461538462,2005.21850116296
2022.173076923077,2005.4975020560591
2022.1923076923076,2005.7766422235973
2022.2115384615386,2006.055921938319
2022.2307692307693,2006.3353414635392
2022.25,2006.6149010532479
2022.2692307692307,2006.8946009521442
2022.2884615384614,2007.1744413957567
2022.3076923076924,2007.4544226104972
2022.326923076923,2007.7345448137748
2022.3461538461538,2008.014808214055
2022.3653846153845,2008.2952130109202
2022.3846153846155,2008.5757593951987
2022.4038461538462,2008.8564475490102
2022.423076923077,2009.1372776458438
2022.4423076923076,2009.4182498506404
2022.4615384615386,2009.6993643199075
2022.4807692307693,2009.9806212017334
2022.5,2010.2620206359168
2022.5192307692307,2010.5435627540205
2022.5384615384614,2010.8252476794655
2022.5576923076924,2011.107075527587
2022.576923076923,2011.3890464057038
2022.5961538461538,2011.6711604132602
2022.6153846153845,2011.9534176418076
2022.6346153846155,2012.2358181751385
2022.6538461538462,2012.5183620893827
2022.673076923077,2012.8010494530179
2022.6923076923076,2013.0838803269796
2022.7115384615386,2013.3668547647549
2022.7307692307693,2013.6499728124274
2022.75,2013.933234508745
2022.7692307692307,2014.2166398852596
2022.7884615384614,2014.5001889662904
2022.8076923076924,2014.7838817691093
2022.826923076923,2015.0677183039409
2022.8461538461538,2015.3516985740732
2022.8653846153845,2015.6358225759077
2022.8846153846155,2015.920090299042
2022.9038461538462,2016.2045017263633
2022.923076923077,2016.4890568340688
2022.9423076923076,2016.7737555918009
2022.9615384615386,2017.05859796268
2022.9807692307693,2017.3435839033743
2023,2017.6287133641936
2023.0192307692307,2017.9139862891384
2023.0384615384614,2018.199411368064
2023.0576923076924,2018.4849884243201
2023.076923076923,2018.770717276056
2023.0961538461538,2019.0565977363112
2023.1153846153845,2019.3426296130428
2023.1346153846155,2019.628812709185
2023.1538461538462,2019.9151468227694
2023.173076923077,2020.2016317469295
2023.1923076923076,2020.4882672699628
2023.2115384615386,2020.7750531754311
2023.2307692307693,2021.0619892422128
2023.25,2021.3490752445432
2023.2692307692307,2021.6363109521
2023.2884615384614,2021.9236961300503
2023.3076923076924,2022.211230539109
2023.326923076923,2022.4989139356321
2023.3461538461538,2022.786746071647
2023.3653846153845,2023.0747266949074
2023.3846153846155,2023.3628555490006
2023.4038461538462,2023.6511323733675
2023.423076923077,2023.939556903365
2023.4423076923076,2024.2281288703532
2023.4615384615386,2024.5168480017478
2023.4807692307693,2024.8057140210567
2023.5,2025.0947266479768
2023.5192307692307,2025.3838855984125
2023.5384615384614,2025.673190584605
2023.5576923076924,2025.9626413151177
2023.576923076923,2026.2522374949451
2023.5961538461538,2026.5419788255408
2023.6153846153845,2026.8318650049084
2023.6346153846155,2027.1218957276274
2023.6538461538462,2027.4120706849521
2023.673076923077,2027.7023895648324
2023.6923076923076,2027.9928520519768
2023.7115384615386,2028.283457827952
2023.7307692307693,2028.5742065711738
2023.75,2028.8650979570193
2023.7692307692307,2029.1561316578493
2023.7884615384614,2029.4473073431
2023.8076923076924,2029.7386246793096
2023.826923076923,2030.030083330136
2023.8461538461538,2030.321682956527
2023.8653846153845,2030.6134232166667
2023.8846153846155,2030.9053037660697
2023.9038461538462,2031.1973242576432
2023.923076923077,2031.4894843417253
2023.9423076923076,2031.781783666125
2023.9615384615386,2032.0742218762446
2023.9807692307693,2032.3667986150306
2024,2032.6595135230968
2024.0192307692307,2032.9523662387733
2024.0384615384614,2033.245345041113
2024.0576923076924,2033.538449688178
2024.076923076923,2033.8316799348445
2024.0961538461538,2034.1250355328148
2024.1153846153845,2034.4185162307574
2024.1346153846155,2034.712121774307
2024.1538461538462,2035.0058519061317
2024.173076923077,2035.2997063660246
2024.1923076923076,2035.5936848908914
2024.2115384615386,2035.8877872148714
2024.2307692307693,2036.1820130693684
2024.25,2036.476362183089
2024.2692307692307,2036.7708342821295
2024.2884615384614,2037.0654290900122
2024.3076923076924,2037.3601463277291
2024.326923076923,2037.654985713807
2024.3461538461538,2037.9499469643636
2024.3653846153845,2038.2450297931566
2024.3846153846155,2038.540233911633
2024.4038461538462,2038.8355590289634
2024.423076923077,2039.1310048521566
2024.4423076923076,2039.426571086007
2024.4615384615386,2039.722257433247
2024.4807692307693,2040.018063594536
2024.5,2040.3139892685188
2024.5192307692307,2040.6100341518786
2024.5384615384614,2040.9061979394132
2024.5576923076924,2041.2024803240256
2024.576923076923,2041.4988809968404
2024.5961538461538,2041.7953996471783
2024.6153846153845,2042.0920359626475
2024.6346153846155,2042.3887896291988
2024.6538461538462,2042.6856603311323
2024.673076923077,2042.982647751197
2024.6923076923076,2043.279751570546
2024.7115384615386,2043.5769714689172
2024.7307692307693,2043.8743071245399
2024.75,2044.1717582142635
2024.7692307692307,2044.469324413575
2024.7884615384614,2044.7670053966463
2024.8076923076924,2045.0648008363673
2024.826923076923,2045.3627104044133
2024.8461538461538,2045.6607337712514
2024.8653846153845,2045.958870606208
2024.8846153846155,2046.2571205775307
2024.9038461538462,2046.5554833523627
2024.923076923077,2046.853958596855
2024.9423076923076,2047.1525459761385
2024.9615384615386,2047.4512451544606
2024.9807692307693,2047.7500557951196
2025,2048.0489775605524
2025.0192307692307,2048.3480101124105
2025.0384615384614,2048.647169739267
2025.0576923076924,2048.9464559227463
2025.076923076923,2049.245868145087
2025.0961538461538,2049.54540588921
2025.1153846153845,2049.8450686387087
2025.1346153846155,2050.1448558779252
2025.1538461538462,2050.44476709193
2025.173076923077,2050.7448017665724
2025.1923076923076,2051.044959388512
2025.2115384615386,2051.345239445212
2025.2307692307693,2051.645641425024
2025.25,2051.9461648171473
2025.2692307692307,2052.246809111707
2025.2884615384614,2052.54757379975
2025.3076923076924,2052.8484583732643
2025.326923076923,2053.1494623252397
2025.3461538461538,2053.4505851496406
2025.3653846153845,2053.7518263414804
2025.3846153846155,2054.0531853968027
2025.4038461538462,2054.3546618127543
2025.423076923077,2054.6562550875287
